coords,nb_x,nb_y,nb_likelihood,nt_x,nt_y,nt_likelihood,ad_x,ad_y,ad_likelihood
101,150.4531097,215.6928406,1,152.7052002,252.1946259,1,195.9362183,345.2099915,1
102,151.5624542,214.9165039,1,153.4161072,251.8699646,1,196.0291443,345.3330078,1
103,153.0255432,214.0041656,1,153.6628265,251.5693512,1,196.3656464,345.3330078,1
104,154.1825562,212.9335632,1,153.9017029,250.9391479,1,196.7680817,345.3330078,1
105,155.1862488,212.4958801,1,154.3912048,250.5813599,1,196.7680817,344.9621582,1
106,155.3919983,211.932373,1,154.5138702,250.1608124,1,196.7680817,344.1578369,1
107,156.221344,211.6897736,1,155.598938,249.8930664,1,196.6878052,343.8139954,1
108,157.3162537,211.0800629,1,155.8390045,249.2968597,1,196.6878052,343.6460571,1
109,158.3415222,210.7740173,1,156.2893982,249.2772827,1,196.6878052,343.6460571,1
110,159.4117279,210.4411621,1,157.6346741,248.9014435,1,196.8965759,343.6460571,1
111,159.9782715,210.2643738,1,158.112442,248.6174164,1,197.5558319,344.2012939,1
112,160.640213,210.0473633,1,158.9009552,248.2612305,1,197.8807373,344.2406616,1
113,160.9989624,209.6208344,1,159.5089417,248.1893616,1,198.0199585,344.565918,1
114,161.1205597,209.6208344,1,160.1209717,247.7937622,1,198.2350311,344.7200317,1
115,161.396347,209.5939636,1,160.4122314,247.7937622,1,198.5646362,344.8733826,1
116,162.049057,209.6208344,1,161.4466095,247.7937622,1,198.9546051,345.0058899,1
117,162.5254211,209.7691956,1,162.1599426,248.2257843,1,199.0691681,345.1498718,1
118,162.7364044,209.8817596,1,162.6405182,248.5349884,1,199.2545013,345.4095764,1
119,162.7364044,211.0137634,1,163.0609894,249.8984375,1,199.6876831,345.5272217,1
120,162.8471069,212.4550781,1,163.7924347,251.817627,1,199.7327118,346.1732788,1
121,163.1226807,212.8105621,1,163.8204956,252.1374054,1,199.8503418,346.3636475,1
122,163.1640472,213.3224945,1,163.8526917,252.5744629,1,199.8766479,346.4154663,1
123,163.7578583,213.6854858,1,164.1807709,252.5744629,1,200.3111572,347.2888794,1
124,164.0662689,213.8645325,1,164.7949371,252.5744629,1,200.3239288,347.3460388,1
125,164.6307373,214.0015564,1,165.3760376,252.5129089,1,200.6302185,347.5917358,1
126,164.7503204,214.0512085,1,165.6610565,252.0870972,1,200.7638092,347.87146,1
127,164.8006287,214.1106262,1,165.6610565,251.2245483,1,200.8649292,348.4819031,1
128,164.8006287,214.1971436,1,165.6662903,250.6382446,1,200.876297,348.5451965,1
129,164.7503204,214.3159485,1,165.6662903,250.5032501,1,201.0713501,348.7980957,1
130,164.6854553,214.6971741,1,165.6568756,250.4757385,1,201.188324,348.9248657,1
131,164.6208191,215.291214,1,165.5882111,250.4757385,1,201.4443512,349.085968,1
132,164.598526,215.6640167,1,165.5538025,250.5032501,1,201.4443512,349.0977478,1
133,164.4531555,215.8535919,1,165.5189209,250.5355072,1,201.4443512,349.1296387,1
134,164.275116,216.2223053,1,165.4513702,250.8478699,1,201.2386017,349.1906433,1
135,163.8820953,216.2516937,1,164.9457703,250.8726349,1,201.2149811,349.1906433,1
136,163.2752991,216.3884277,1,164.544754,250.9347382,1,201.1798096,349.1906433,1
137,162.4563904,216.6672821,1,163.5947113,251.4906769,1,201.0880737,348.9432678,1
138,161.3628235,216.9351807,1,162.6230469,251.8129883,1,200.7869873,348.6824951,1
139,160.5561981,217.1345978,1,161.3444977,252.083374,1,200.3254242,348.2610168,1
140,159.8157806,217.1786804,1,160.3750763,252.7394714,1,199.7646027,348.0811462,1
